,comment,quality,difficulty
 ACCT1CE8105002,"This is a very nuts and bolts approach to financial statement analysis (you need to do and think about this; you can always look up that), which makes it different from classes which require memorizing material that will eventually be forgotten.  Chris is very accessible; it's clear that he wants students to understand the material and do well.",4.5,4.0
 ACCT1CE81053,Chris was excellent - simplified concepts and pulled out only relevant information. Repeated to ensure key concepts were emphasized again and again so you leave knowing the important things. Accessible. Added personal stories to put things in a real-world context. Highly recommended and would take another class for sure with him!,5.0,3.0
 FINANCE,"Chris was a teacher who managed to weed out the relevant from the not relevant, as it pertains to the real working world. He was very clear and patient!!",5.0,2.0
 BUS101,Great teacher!!!!,5.0,3.0
 OART1923,Beth is literally the best teacher I have ever had. She made an entire room full of drama majors understand the nuts and bolts of how to produce from legal agreements to marketing. She KNOWS what she's taking about. More than that she's hilarious and provides such a positive classroom environment that it is nearly impossible to dislike the class.,5.0,3.0
 OART,"Beth is fun! She's really kind and has a great sense of humor. Her class can be long at times, but overall educational. There's not enough assessment for the class though. There are few assignments and tests, so you better do well on each of them. They aren't too difficult though. If her class is ope...don't think twice...TAKE IT!",4.0,1.0
 EXPOS128,"Maura is nice and she tries to make the classes fun.  She is a little tough, but you will learn a lot if you want to.  Plus she's willing to give a lot of extra help and meet with you a lot.  This class is pretty bad, but this teacher makes it better.",4.5,3.0
 STATSUB1,"She is a great teacher. Participate in class, do the homework, and you should do great on the midterm and final. Allows notes for tests and they aren't difficult given you paid attention in class. She is extremely attractive as well, though she can be boring if you don't participate. I highly recommend her.",4.5,1.0
 STATUB04,"She's very helpful and makes everything clear. Tests are very fair, based on problems that we do together in class. True and False is tricky though! I  definitely recommend her for 4 credit stat",4.0,3.0
 CINE542,He is very enthusiastic and cares about the students and advancing their understanding of the topics.,5.0,2.0
 OARTUT1500,"Best teacher I've had. So knowledgable- challenge people's ideas in a helpful way. Really great learning experience from his lectures! Very very enthusiastic, very accessible too. I just want to be his friend :)  His Iranian Arts Activism class made me learn so much and had so much respect for this country and its people.  STRONGLY RECOMMENDED",5.0,4.0
 PSYCHGA2032,"While Dr. Forte can seem tough, her classes prepare you to pass comps and succeed in the business world. Lots of casework and group projects with clear guidelines - she will give you tough feedback but it is because she genuinely cares about your learning and success. Participation is important and valuable. Take advantage or her course style.",5.0,4.0
 EURO200,"Professor Gross is great. He lectures very week, is very understanding and his expectations are very realistic. But he is not an easy A, definitely makes you work for the grade and requires that you engage with the topics. Do not expect to just show up and do well. I would definitely take another class of his in the future.",5.0,4.0
 POLECON,"Great guy, young and passionate, very friendly and understanding, and who really knows what he's talking about. Occasionally revises syllabus to reduce reading load and homework load. Grading depends on TA.",5.0,2.0
 TEXTSIPOLECON,"There's 100 pagesweek of required reading. The lectures help explain the harder material. My TA (James Robertson) was also very helpful.  The material is interesting, but having a background in Economics helps. There are several books to read. He's a nice young guy, didn't really mention UCB but says ""um"" A LOT. 3 essays (4-5 pgs) + 2 exams",4.0,3.0
 POLITICALECON,"Gross is a very good teacher no doubt about it. But if you're smart enough, you'll realize that he thinks all NYU students are rich snobs because NYU is an expensive school, which can make things somewhat uncomfortable considering he's a teacher at NYU. He'll bring up a fair amount of times how he went to UC Berkley which was not at all expensive.",4.5,3.0
 FMTVUT20,"Language of Film. He drones on and on but if you actually listen to what he's saying, he's hilarious! Such a weird dude. Loved this class.",4.0,1.0
 FMTVUT40,"Janet drastically improved my writing. She really pushes you to do your best. She's a tough grader, but you'll be all the better for it. She will take time to discuss your writing with you. The assignments to watch films along with doing some writing exercise can be taxing, but it's all worth it.",4.5,4.0
 STORYTELLINGST,Hands down the best teacher I've ever had. She is very caring for her students' work and her film analyses are extremely engaging. Janet's lectures made me completely change my perspective on several movies. I wish I could have her again for a different class.,5.0,3.0
 FMTVUT,Honestly loved her. She made the first half of my freshman year so much easier. I'd really take her again if i had the chance. Her lectures are just so engaging too. Yea theres homework after each lecture and recitation but its not graded. But it is extremely relevant and helpful. She makes herself available and is always open to class opinions.,5.0,3.0
 TWENTYSOMETHIN,"Fun class but the papers were WAY to hard and intense for the material we were covering. Not hard to do well, but it does take up a lot of your time. I thought the essays could have been more fun and engaging but they were rather dry. Overall an OK class, I'm sure there were better ones though",4.5,3.0
 TWENTYSOMETHING,"She is very intelligent, humorous and engaging with her lectures, which made it much easier to sit through the long class once a week. It was co-taught with Yamalis Diaz, who is also very good. They share a lot of their personal experiences and make class enjoyable, especially since it is always packed full every semester since it started.",5.0,2.0
 RISKANDR,"Wonderful professor, excited about the material and very clear in presenting it. I have taken several classes with her and they have all been equally exciting and engagin",5.0,2.0
 ANALYSIS1,"Very good professor with a fair grading procedure. English a little wonky, but his lectures are organized and his writing is clear. The content itself is very challenging, but he does a great job explaining.",4.5,2.0
 ANALYSISI,"He is not as bad as i thought. The material is explained clearly, despite his English. Even though the homework is very challenging, it is not completely unsolvable. And the grade policy is very reasonable.",4.0,4.0
 GAMESTUDIO1,"Bennett is one of the best professors in the program. He is responsible, gives very useful lectures and feedback on projects and a very nice guy to talk to. His door is always open to students if we have any questions to ask.",5.0,4.0
 CSCIGA2271,"His immense knowledge and experience in the field was valuable during office hours, where he instantly knew the answer to complicated, nuanced problems.  Could have been better prepared to explain what was on some of the slides.  Homework assignments helped figure out what I didnt understand in lectures. Piazza (class messageboard) was excellent.",4.0,4.0
 FRSEMUA355,"He's one of the nicest teachers ever, and will help you with anything. If you do your work, you will at least get an A-. With that being said, he is a little boring, and sometimes he's too easygoing (plenty of kids didn't do the reading, which made class discussions terrible, but he let them off the hook). Still, he's nice and smart.",4.5,1.0
 CHEMISTRY 100,"Great teacher, I took Chemistry at MSJC in the summer and it was his first time teaching here. I enjoyed his class, he's very helpful, and knowledgeable. He's there to see you succeed however if you don't do the work well that's your fault.  If you do the homework, read study the notes you take in class you'll do great. ",5.0,2.0
 CHEM100,"He is a good instructor and new at MSJC. He explains everything well. I took his class on summer semester. He gives a quiz each class meeting and there's extra credit questions on exams, usually 15 points. I hate chemistry but that changed when I took his class. He is very helpful and I totally recommend his class to everyone interested.",4.5,3.0
 CINEUT55,"Definitely recommend Anastasia, it's an easy class if you keep up with the reading, which is usually interesting. Tests and paper are easy if you put in moderate work. She's very chill!",4.0,2.0
 POLGA1731,"Professor Tyler has certainly shaped my understanding of the world, and it's nice that even when we are discussing tragedies of genocidal proportions, she can still work in some deadpan humor. Take her class!",5.0,3.0
 POLGA1731002,"I learned a lot from her, more than any of my other classes combined. She seemed strict at first, but after she gets to know you, is pretty flexible and understanding. Had the liveliest discussions in her class vs my other courses.",4.0,3.0
 FINCUB45,"This class should be a requirement for all Finance majors at Stern. Murphy gives great insight on recent and upcoming trends in the financial services industry that are not only  interesting, but very important for all business students to know. Can come across as unapproachable, but he's more than happy to help if you ask. Highly recommend!",4.0,4.0
 IBANK,Hands down one of the best professors I've ever had at Stern. Gives you insight into the financial services industry that should be required for all Stern students.,4.5,3.0
 EXPOSUA9002,"she is a real gem. she is an amazing professor! I DEFINITELY recommend her, i wish she taught all my classes.",5.0,3.0
 ENGL712,"Jonathan is great. Literary theory is tough to understand, but he makes it as easy as possible. The texts are super interesting and he usually breaks it down pretty well and leads excellent discussions. Pretty presentation-heavy, but he's a pretty okay grader--work for it and you'll do fine. Tons of reading, but you can get by on skimming usually",4.0,4.0
 MAPUA400,Great seminar teacher. Would take the class again.,5.0,3.0
 PHIL70LOGIC,"I beg to differ - my experience with Professor Guo was great. Sure, he is a little confusing at times but he always responds to your qns no matter how stupid you think they are so things always do get clarified somehow in the end. Exams were reasonably difficult but thats expected with a class like this. Overall, I'd recommend him.",4.5,3.0
 ENSTUUF101,"Professor Nagle is A++! She's more used to teaching grad students, so it was probably really tough for her to try and get through to us undergrads but still the course was amazing! Her syllabus was interesting and she genuinely wants everyone to do well. Super understanding. I don't even like ES that much but wouldn't mind taking this class again!",5.0,3.0
 ENST101004,This professor is great for this subject. Really passionate about her work. Always glad to hear new perspectives from students who have their own experiences to bring to the table. She may sometimes go too slow in class but it's understandable since she assumes most people don't have as much knowledge as she does. Very friendly professor!,4.0,2.0
 MATHFORECONI,"Excellent professor with a superior work ethic.  Very relaxed when it comes to due dates, and he'll do everything in his power to help students.  Problem sets are difficult, but his tests are very reasonable as long as you memorize the definitions provided.",5.0,3.0
 ITALUA9010,"Massimo is the funniest professor, not because he cracks jokes but because he just is. I took his classes twice in a row. Classes can feel disorganized, but at the end of the day I learned Italian a lot. We get to talk a lot and not be too serious. His field trips were my favorite parts of being in Florence. Genuinely enjoyed attending the class.",5.0,2.0
 FRSEMUA23500,"A very funny, nice man. He talks a little quietly so you sometimes lose focus, but the class and the material are SUPER interesting if you're into law and politics. He never moves on until everything is very clear. He provides office hours and email feedback to always help or just chat.",4.5,2.0
 FYSEMUA235,"Dr. Solomon is a very kind and intelligent man who will really get you thinking about First Amendment cases and law. Participation matters a lot in the class so reading the cases is important. The papers are often based on things we've discussed in class/applying ""tests"" from key decisions to other situations, so taking good notes in class helps.",5.0,3.0
 FYSEM235,"He is good at what he does, is respected, and very knowledgeable about first amendment law. I personally found lectures to be boring and drag out. It is participation heavy. No midterm or final but there are 5 papers to do. He was a good professor, just wasn't my forte.",4.0,4.0
 GA3033PQS,"This is NOT a Java course. Yes, all the work is done in Java and you are graded on how well you code, but the course is more about good design practices and writing high quality software that is scalable and maintainable. The requirements for the assignments are open ended and keep changing, which I did not like, else it is a good course to do.",4.0,3.0
 PQS,Great professor.  One of the most down to earth teachers at NYU.  Only teacher not completely conceited.  The class was more like an intermediate java class than advanced but still worth it.  Class is not too theoretical and assignments were not too hard.  Best class so far in for grad cs.,4.0,2.0
 OARTUT561,"One of those professors with a strong ""mom"" vibe--if you want to learn, she wants to help you. Don't worry about your grade as long as you're putting genuine effort into your projects. Open Arts classes are a great opportunity to explore and exercise your creativity, and she really facilitates that. ",4.5,1.0
 MULTUB0066,"She is a great teacher! Very friendly and very helpful! Not too much reading, you do most of your work in class or with your own team.",4.5,1.0
 MAPUA544,"If you must take Abercrombie Cultures and Contexts, be sure to take it with Amy as a TA. Amy is the nicest most helpful TA you will ever encounter in your time at NYU. Grades fairly and always has time for you! Her clarifications about social order are very good! Learnt a lot more from Amy than from Professor Abercrombie!",5.0,2.0
 UGPHGU10,"She is such an awesome professor and anyone would be lucky to take her class. The work is all clear and straight-forward, and she is always there help you and provide support. Love her!",5.0,2.0
 MAPUA514,Exceptionally knowledgeable and enthusiastic. Makes a true effort to get to know everyone along with their strengths and weaknesses and really cares about their success. Hope to take another class with him in the future!,5.0,2.0
 MAPUA514001,David was a really helpful TA who guides students through papers and exams in a very structured manner. He made every lesson interesting and took the effort to get to know every student in the class. He is very patient and willing to help his students. I would definitely recommend this class to others - but only if they have David as their TA.,5.0,2.0
 COREUA514,"I don't really care about the ancient world but he made it interesting. He's passionate about it. U HAVE to go to lecture if u want to do well on tests; he makes class fun and interactive. If u miss a lecture, do the reading. If not, readings aren't necessary but useful for papers/tests. He gives fun topics that allow u to go anyway u want.",5.0,3.0
 MAPUA5XX,"Extremely helpful, very clear and straight to the point. Choose him !! Just work hard and put effort in the papers and you will get A !",5.0,3.0
 MAPUAANCISR,David Moster was my TA for Ancient Israel. The class itself was pretty demanding and confusing. But thank god I had David to guide me every step of the way. He was extremely clear and helpful and very knowledgable of the material. Without him I would have been lost. An aside from academics he is just an awesome person. You're lucky if you get him,5.0,2.0
 16956,"Peter is overall a great person, & good teacher.  He respects his students and gives them constructive, encouraging feedback.  He is understanding towards personal matters and has a genuine interest in the betterment of a student through his class.  Sometimes it feels like his class isn't that well structured, but still proves very much helpful.  ",4.0,3.0
 CFIUF9101,"Prof. Dragnea takes a lot of effort to make classes engaging and interesting. There is a lot of material to read and a fair bit of memorization, but it's not overwhelming. She's also very caring, even though she sometimes comes off as strict. She's good at explaining concepts, and is happy to help you outside of class if you're interested.",4.0,3.0
 CFIIUF9102,"Great class. Took her for CFI, SFII and CFII. Would take again absolutely! I learned a lot, she is very clear and understanding",4.5,2.0
 CFII9102,"Nicholson is BY FAR my favorite professor at NYU Florence. He is insanely smart, knows everything, is super passionate about what he teaches and hilarious. It's super easy to get an A because he tells you exactly what is on the exam and if you submit your essays early he gives them back with notes so you can fix it. A little heavy on the reading.",5.0,1.0
 SF004,"Okay so Professor Dragnea is easily the best professor at NYU Florence. You don't have to read for class, though know the subject or she'll be mad. She grades kind of tough but you will learn if you just do her study questions you will pass her class. She's such a kind soul and just a great professor who really cares about the subject and students!",5.0,3.0
 SF9101,"Indeed, the GOAT",5.0,4.0
 CFIUF9101004,"Prof. Dragnea was one of my favorite. The only people that don't like her are the ones that don't do the work. That being said, there isn't much work to do. I skimmed Sparknotes for every reading and then participated in class (which gets you BIG points) and I ended the semester with an A+. She is a very easy grader I got an 100% on an essay.",4.0,3.0
 SFI044,"Professor Dragnea is very knowledgeable, but her class is the same each time so it can get extremely monotonous and quite boring. You do not need to do the readings for class, sparknotes works fine. Participation is key in her class - she forces each student to comment on the work that is being discussed, so you must not be afraid of participating.",4.0,3.0
 CFIUFSFIUF,"Dragnea is very passionate and clearly cares a lot about her students. Her essay prompts are very clear and exams aren't that difficult. There may be a lot of reading for her courses, but you can survive the in-class discussions with spark-notes and shmoop.  Would recommend her and plan on taking her for my SFII and CFII courses.",4.5,2.0
 CFIISFIISFI,"Professor Dragnea enlightens you every day! She is very intelligent and not boring at all. She has this cute accent, and makes cute jokes and references. What I mostly love is how she relates history from 100's of years ago to today. She's also willing to talk over about your grade or stay after class if you didn't understand the material. Luv her!",5.0,2.0
 AAS280,"Prof. Casewit is an outstanding lecturer, particularly considering he's early in his career. His syllabus and organization are refreshingly clear. He does well in walking the line between challenging his students without overburdening them. His lectures are always very informative, and he presents a passion for what he cover's. It's been a pleasure",5.0,3.0
 ISLAMAAS280,The instructor for this course was Yousef Casewit. By far the most intelligent and highly certified teacher i have had the pleasure of learning from. Make every attempt to hire this teacher because he is one of the most intelligent human beings i have ever met. The man is an expert in every sense of the word.,5.0,2.0
 EASTUA167,"Tough grader; content and structure matter. But if you have any questions she is there to answer and makes sure you get it. Holds high expectations but very humane professor comparing to some. Knows her stuff well and cares a lot that you try and really dig deeper in the materials. If you really want to **learn**, take her class!",4.0,4.0
 COLIT950,"Phil's class is not one to take if you do not want to read, and go deep into the readings.  Phil pulls amazing material together into rich classes. It is hard, but also incredibly rich, and if you put the work in, you can get a lot out. Take his class if you want to learn new concepts and are ready to work to understand them.",4.0,3.0
 DRLITUA301,"Rebecca was an awesome teacher! A lot of reading, and quizzes once a week, but only a few long papers, and one exam. She was really engaging, funny, and she knew what she was talking about. I would definitely take a class with her again.",4.5,3.0
 THEAUT716,She's great! Her class was easy but not in an uninteresting way. If you read the plays and participate in class you should be fine. She assigns long papers but they have prompts and again are a bit easy. I would take another class taught by her. There are quizzes everyday but they have 5 questions and it's mainly for participation purposes.,5.0,1.0
 THEA716,"Wonderful lady. If you have a good excuse to not be in class, she'll take it. Only one play anthology book is required and you will use it a lot.  A play per week, but they're really interesting and the class discussions are great.  She makes an otherwise uninteresting topic very engaging.  Worth taking.",5.0,2.0
 FMTVUT1018,"Professor Hubley was great, he had a really good sense of how to get the students lightened up, and he definitely knew his stuff. My favorite professor i've had, hands down.",5.0,1.0
 JOURUA505,"A superbly capable journalist and professor, Edozien is the man! His Sub-Saharan Africa course honestly gave me a very intimate and eye-opening glimpse into the often-downplayed world of Africa today. He is objective, deeply knowledgeable and very easy-going, both as a person and as a grader. Strongly recommended for any NYU student.",5.0,1.0
 ASLUE91,"I had Maureen for ASL I. As a deaf professor, she gets right into signing from the first day. Very helpful, humorous, and insightful. Class attendance will greatly determine your grade. Assignments and quizzes are easy, midterm and final require in depth-study and review. Awesome class for language requirement or elective!",5.0,2.0
 DRLITUA110,"Brandon was a good professor. He was helpful if you looked for help, he made the class as enjoyable as he could, and he really did care. However there are a lot of readings and they seemed pointless sometimes. Almost all of the textbook readings were completely unmentioned in class. Also, the final essay is incredibly difficult to comprehend.",4.0,4.0
 DRLITUA101,"Lectures were always great - Prof Jarcho is a fun teacher, gives great feedback, and the readings for her class were always super interesting. I can't think of enough nice things to say about her - one of the best professors I've ever met.",5.0,3.0
 DLIT111,"Poised, brilliant, and stimulating. One of my favorite professors. A hard but fair grader. Cares about her students. Makes you work for her approval.  Super funny at times, super serious at others. Go to her office hours! She has wonderful, brilliant things to say. Very accommodating. Take good notes. Essays are challenging and intriguing.  ",4.5,4.0
 DRLIT,"Professor Jarcho's class was more challenging than most Arts &  Sciences English classes I've taken--lots of reading with a heavy dose of theory. If the idea of plays and drama makes you think you'll be entertained and coddled, best think again. That said, I learned a lot more than I ever have in a given class. ",4.5,4.0
 DRLIT111,"She's elegant, well-versed, and surprisingly organized in course materials. She emailed us the detailed syllbs(including all deadlines & reading list)one month ahead of the first lecture. 3 papers; lower-than-averge number of pages to write, but higher-than-average qualities required, which is not easy, but she's very helpful and happy to talk.",4.5,3.0
 ARTUE1540,"Kathy is a true gem of a person. I came into an advanced ceramics this semester nervous as hell, but she immediately put my mind at ease and has been the most supportive and generous woman. I highly recommend looking up her art and taking her class if given the chance!",5.0,1.0
 INTROCERAMICSI,"Kathy is a wonderful ceramics I instructor. Very laid back and helpful with every assignment. Attendance isn't mandatory, you just need to submit pieces on time and that's it. You can leave during class to go get food, take a break, take a smoke, anything. Highly recommend!",5.0,1.0
 NUTRUE120,"Good class, but a bit boring.  She is a smart professor and cares about her students learning.",4.0,3.0
 CLASSUA3,"Straight forward, to the point kinda gal. Pretty easy. If you like Latin, you will like her class. If you aren't into it, you will probably hate it. Luckily, I love Latin!",4.5,2.0
 SCAUA680,Prof. Sugrue was great. He is a very interesting lecturer and well-respected in his field. He encouraged students to ask questions and talk to him in office hours. He did a good job at being sensitive when talking about difficult topics such as police violence. I learned a lot in his class!,5.0,4.0
 H561092,Professor Belfer is a very chill and interesting teacher. Classes are laid back and workload is both managable and fun. Great movies on syllabus.,4.5,2.0
 ENG215,"She's a pretty easy grader and there's no final exam, only a final paper which is due in increments. She's kinda awkward but in a funny way.",4.0,1.0
 THEAUT750,"Jesse is a very passionate teacher.  As for her Religion and Theatre course, I think Rituals and Comics would be a better name. What she teaches is interesting (she loves comics and tries to incorporate them, as well as movie clips), but not completely relevant. Didn't learn that much about religion or theatre, but I don't regret taking the class.",4.5,1.0
 500004,Great teacher. Very nice and pretty clear and passionate about what she teaches. She likes open discussion in between lectures (which aren't very hard to follow) and she loves creative discussion. Good amount of reading but no busy work. No tests or quizzes just some straight forward papers and projects. Kinda funny too. ,4.5,2.0
 THEAUA500,"She is amazing. Very knowledgeable and passionate about what she teaches; she gets really excited sometimes and bounces a little and runs out of breath. She's always open to discussion even if it might deviate a little from the lesson plan. Reading and attendance are mandatory, but both checked via daily questions from the reading, so  not too bad.",4.5,1.0
 MULTIPLE,Very clear presenter that makes tough subjects straightforward. Good insights into people and business if you are willing to pay attention.,5.0,4.0
 ITALUA10,"She is an amazing professor that is all about her students. She takes the time to explain everything, is always patient and understanding when it comes to answering your questions. Her homework is light, only meant to reinforce the days lesson. Amazing person. She is always available for you and is willing to work with you endlessly to improve.",5.0,3.0
 ITALUA1,"She is super helpful. Any questions and she will answer your email that day. If you show up to class you will now everything necessary for the quiz every other Thursday, which is easy. The class is really fun and I learn a lot. ",4.0,2.0
 ECONUA20,"Not as bad of a lecturer as the reviews suggest, he's very patient to go over concepts and give a lot of help during office hours. The homework and exams are difficult, but he makes sure to give a lot of resources that are very helpful in preparing for the exams. Big curve if you don't do well.",4.0,3.0
 ECONUA380,"One of the most helpful professors I have had. Pepe cares for his students, especially those that want to learn. He is passionate about what he is teaching, clear in explaining concepts, and willing to slow the pace of a class to make sure everyone understands the material. patient, humble, knowledgeable, always there to help",5.0,3.0
 EASTUA231,This class may be challenging but she is a great professor who cares about her students. My Chinese improved tremendously through this class and her quizzes and assignments definitely challenged me to become a better speaker and writer.,5.0,4.0
 EASTUA203,"Prof. Zhou is great. I really enjoyed taking her class, she is super caring and understanding, highly reccomend. Best Mandarin prof at NYU!",5.0,4.0
 EASTUA205,"Hanyu Xiao is AMAZING!!! She is incredible at language teaching, never in my several years of studying Chinese has a teacher pushed me so far so quickly. There's a lot of work in the class, but she doesn't try to trick you. If you do the work you will do well in the class. Her main goal is to improve your Chinese, and she really does.",5.0,4.0
 EASTUA232,"She really knows what she's doing and she cares a lot about making her class fun for the students. Only problem I had is I don't like participating, but if you don't mind then you should definitely take her class.",5.0,2.0
 EASTUA201,The best professor I've had so far. Really cares about students and is available for office hours on multiple days throughout the week. She provides multiple extra credit assignments to raise your grade.,5.0,2.0
 SPMT001,"Big stickler for attendance. Very big on assignments and readings. Will pop quiz in class. Tests are long and annoying. However, Prof. Zotos is clear and As are attainable if you subscribe yourself to her system.",4.0,3.0
 ANTHUA2,"I took him the first time he taught the course (you could definitely tell). He brought in many guest lecturers (experts in what he knew less about), which was helpful. He's far more knowledgeable about primates than the  human fossil record. Still, a good teacher. The course is hard but definitely easier if you've taken POB I&II. ",4.5,2.0
 CHEMUA652,Did I actually learn a lot from Jerschow? No. Did this really affect my performance in the class though? No. Jerschow follows the textbook exactly so you can skip lecture and just teach yourself. He knows the material is hard so his tests have no tricks and he genuinely just wants students to do well. Nice to not have a prof out to screw everyone.,5.0,3.0
 QUANTUM,"The best chemistry lecturer I've had at nyu. He was always prepared to lecture with a clear outline of the topics he wanted to cover (on notes cards which was really cute). He is always willing to for office hours. Very fair with grading and does not surprise you on tests. Homework, lecture and quizzes are all you need. Also he is really attractive",5.0,1.0
 CHEMUA651,"He was a really nice teacher who based his lectures off of the book. Weekly quizzes mainly comes from the textbook questions of the study guide. Exams are pretty much a combination of the textbook and the rest of the questions from the study guide. If Sabo is the TA, will give you an automatic 10/10 for the homework as long as you wrote something.",4.5,2.0
 BIO226,"i took this prof for MCB2. his lectures were really interesting. he made such complex concepts digestible. his slides can be daunting, but if you just focus on what he says during lecture recordings and you'll be fine. he often calls testable material 'his favorite' so be on the lookout for that.",5.0,3.0
 DEVBIO26,"The more classes I take at NYU, the more I appreciate him. Lectures are dense but very clear and interesting. He repeats important concepts so you are clear on what to study for exams. I'm sad that he's not teaching more classes :(",5.0,3.0
 BIOUA26,"His teaching style overall takes some getting used to. The lectures are very clear, well-structured and informational (also slips in sassy comments and jokes in his monotone). The tests were not memory-based but focus on experimental design and logic. I didn't like him much during MCB II but definitely enjoyed DevBio a lot!",5.0,4.0
 DEVBIO,"Squeezes a lot of detail into his lectures. The subject is a bit complex, but he does a good job making it easier to understand. Textbook use depends on your learning style (I got by with mostly just the lecture slides). Tests are tough so be very thorough when studying.",4.0,4.0
 MCBII,"Desplan is a great professor. I found his lectures and review sessions entertaining and informative. He is not easy, but that's just how the class is designed. I enjoyed his lectures.",4.0,4.0
 CALCULUS2,"It is time!  Announcement #1: The next Quiz is in 2 days.  Announcement # 2: Prof. Beran is the man!  The way he teaches his class, it is so cute!  Holy cute professor!  Oh heck, I'll just say it I love this class!!",5.0,1.0
 ECONUA351,"Lectures are very informative/dense. They can sometimes feel rushed through, but Prof. Flinn usually reviews the material at the beginning of the next lecture. It's on the more on the math-y/analytical side of Econ (like a harder Intermediate Micro). If that's your thing, you'll like the class. Midterms are very close to the problem sets.",4.0,4.0
 ECON1401,"Hes a very good professor. I received an A in his Microeconomics class, hes very caring and always helps you whenever you dont understand a question.",5.0,2.0
 FINUY2003,"Amazing professor! She truly cares about her students doing well and is always willing to provide aid in class and outside of class. She recognizes hard work and understands the material. Very kind, but make sure you go to lecture and do the homework.",5.0,4.0
 STATFALL,"She is a very nice teacher who is very patient with students. Prof. takes care of her students and helps students. She made the grading more flexible and dropped the assignment with the lowest grade. Although the class was quite difficult to catch up, I learned a lot and used the statistical methods learned in this class in my micro paper.  ",4.0,4.0
 STATISTICSUA,Statistics class is not easy. There are many different distributions and probability problems. Prof. does a very good job in explaining some of the complicated methods. Problems she covers help me understand the concept. Test are quite tough. The formula sheet helps. It covers questions form the class and textbook. ,4.0,4.0
 STATS,Very nice teacher. Always willing to help and explain. Although he's an adjunct but he stays in the office substantially to answer your questions. He even has exam reviews over the weekend in his office. Makes a 8am stats class something I want to go to.,5.0,1.0
 MATHUA224,"European (Scottish) professor. Exams are given European style (40% is a passing score), curve is huge.  Explanations are very clear, office hours are very, very helpful (he uses them almost as an extra lecture, great for seeing examples worked out).",5.0,4.0
 MATHUA325,"His lectures are very interesting, easy homework, midterm and final.",5.0,1.0
 CALCULUS1,"Best person and teacher in whole NYU. The man know math and he is very humble. very helpful and respectful full with a positive characters. he could be hilarious as well. Seriously, it is not easy to find a wonderful professor and a good man teaching math. I recommend you to take Cheikhna if you want to succeed. he dress nice .",5.0,2.0
 10054,"I have a strange fondness for this dude despite the fact that his homework for every week takes me over 6 hours to do. You could be bitter about the workload, but the fact is that you need the practice to do well in this class. If you show up to lecture and do the homework, you will learn calculus. Very well. Better than you ever wanted to.",5.0,4.0
 BIOLUA32,"Her lectures were so entertaining, and she was very accessible outside of class. She clearly cared about the students and wanted them to do well. Her exams were kind of difficult, but completely doable if you went to class and read over the lectures again.",5.0,3.0
 BIOLGA1001,She is very accessible and cares a lot about the students. She is always available to answer questions outside of the class.,5.0,4.0
 UA11,She was a great teacher and was clear about how and what to study. The slides were very comprehensive. I used the textbook too but I feel like the slides would've been enough. She makes the tests and grading very fair and is good about explaining concepts.,5.0,3.0
 MEDIUA410,"Very interesting and intellectual lectures. Very accessible outside class (during office hours). Reasonable workload. Highly recommended for Intro to Shakespeare. He will be very helpful if he can see that you are working hard, even if you are a beginner to Shakespeare/English/Literature.",4.0,3.0
 ENGLUA800,"Professor Sandhu is one of the best and nicest professors I have had at NYU. He is very eccentric and will make you read/watch the strangest material, but it really forces you to think outside the box. He is also super smart and funny and makes classroom discussions very intriguing. He doesn't believe in grades, so he's not strict either.",5.0,2.0
 ENGUA410,"I love Shakespeare, so I really enjoyed this class. Professor Halpern is great, but he's definitely a hard-ass when it comes to attendance and grading. This isn't a class you can just float by in. There's a midterm, final, and two papers, each worth 20% of your grade. Final 20% is participation in the recitation.",4.0,3.0
 ACTION,"Great guy, very interesting, terrible subject. Just lectures the entire time but he makes it worth taking the class. Best texts and ideas option available.",4.0,3.0
 INTG1GC1000,Professor Ehrlich's class is very lively and solid. She always gives us vivid examples and encouraging feedbacks. I really enjoyed her class. The midterm won't be hard if you understand the concepts she taught and read the assigned homework. ,4.5,3.0
 INTG1000,Professor Ehrlich is a great professor!  She is very upbeat and engaging. She uses a variety of teaching methods during class. Her communication is very clear with an emphasis on helping students learn. The classes focus on current events and she draws from her strong marketing background. ,5.0,3.0
 GC10003,"Professor Ehrlich was my favorite professor during my first semester at NYU. She gives amazing lectures and knows how to challenge her students to give their best.  Be ready to read a lot (great material, so you won't even bother, I guarantee you) and to speak up during classes. Take advantage of it, you will be lucky to learn from her.",4.5,4.0
 1015,for project no paper all need to be shown in slides,5.0,3.0
 GA1754,"Really like this course. I found it informative and organized. I learned a lot and appreciated the amount of attention the professor provided. Didn't have a problem with making appointments as she was always accommodating to my schedule. I also appreciated the encouragement of participation and sharing of different ideas. Overall, a great class.",5.0,2.0
 INTL1754,I really liked this course. It helped me get my internship,5.0,4.0
 GS2285,Hands down best class I took during my time as a grad student. The instructor clearly cared about the students' success and involvement in class. She was also more open to meet with me for office hours than I've ever seen a professor.,5.0,4.0
 G2285,"I was really happy with this course, like the case-based approach. The instructor was energetic and explains the material well.",5.0,4.0
 GC2285,Loved this class and the lectures. I also enjoyed the group discussions. Prof Chang was very organized and able to answer a variety of different questions that showed her deep knowledge of the subject.,5.0,3.0
 GA1745,Dr Chang is good at inspiring students to think critically about relevant issues covered in the course. I thought the class was well organized with great readings and discussions. Great class and very applicable to what I want to do in the future,4.0,3.0
